id,content,title,media-type,source,published
fa7a8dc2-061f-44bd-8e79-9ba114b4cf4f,"The Democratic Alliance (DA) on Thursday requested that SABC chief operating officer Hlaudi Motsoeneng be summoned to appear before the Communications Portfolio Committee for lying to Parliament about the SABC’s finances.  
“The problem for Motsoeneng is that lying to Parliament constitutes fraud and‚ as such‚ is a criminal offence‚” Gavin Davis‚ DA shadow minister of communications‚ said. 

The SABC annual report tabled in Parliament on Wednesday indicated that the SABC had suffered a R395-million loss in the 2014/15 financial year. 

“This contradicts Motsoeneng’s statement before the Communications Portfolio Committee on 22 April 2015. He said‚ ‘The SABC‚ financially‚ we are sustainable.’ 

“(Communications) Minister (Faith) Muthambi agreed. ‘The SABC is on a sound financial footing‚’ the minister of communications told the committee. 

“Significantly‚ neither Muthambi nor Motsoeneng mentioned the SABC’s projected loss for this financial year. This was despite the existence of internal SABC financial documents dated March 2015 (later exposed by the Sunday Times) that indicated the SABC was due to make a massive loss. 

“The loss of R395-million in the 2014/15 financial year‚ compares with the R358-million the SABC recorded as profit in the previous financial year. 

“This means that‚ under Hlaudi Motsoeneng’s watch‚ the SABC’s finances have taken a R753-million nose-dive. 

“Yet‚ in the same period‚ Motsoeneng received a R916‚000 pay rise to R3.7-million. No wonder Motsoeneng was so keen to paint a rosy picture of the SABC’s finances before Parliament – he needed to lie to justify his multi-million rand pay cheque‚” Davis said. 

“The problem for Motsoeneng is that lying to Parliament constitutes fraud and‚ as such‚ is a criminal offence. 

“According to Section 17 of the Powers‚ Privileges and Immunities of Parliaments and Provincial Legislatures Act of 2004: ‘A person who willfully furnishes a House or committee with information‚ or makes a statement before it‚ which is false or misleading‚ commits an offence and is liable to a fine or to imprisonment for a period not exceeding two years…’ 

“I have today (Thursday) written to the chairperson of the Communications Portfolio Committee‚ Joyce Moloi-Moropa‚ to request that Hlaudi Motsoeneng be summoned to account for misleading Parliament. 

“In the meantime‚ I have also written to the Public Protector to request an investigation into Hlaudi Motsoeneng’s salary increase‚ as revealed in the SABC’s annual report yesterday. 

“The fact is that Hlaudi Motsoeneng is being handsomely rewarded while the SABC lurches from one crisis to the next. 

“Motsoeneng must be held to account for his exorbitant salary increases‚ the SABC’s financial losses under his watch‚ and the lies that he has told in Parliament‚” Davis said.",'Motsoeneng must account for lying to Parliament',News,Sowetan,2015-09-25T05:10:12Z
0caf3347-e7ba-40ce-9002-dcaf2160f4f0,"By Bernadette Carreon AFP

PORT MORESBY, Papua New Guinea -- Vulnerable Pacific island nations will this week send the world an urgent plea for action on climate change at crunch talks in Paris later this year.

Some Pacific Islands Forum (PIF) countries lie barely a meter above sea level and fear they will disappear beneath the waves without drastic intervention from major polluters.

The 15-nation regional grouping, meeting in Port Moresby, Papua New Guinea from Monday, has long complained of bearing the brunt of climate change, even though its members make a miniscule contribution to global carbon emissions.

For more than a decade, the annual PIF summit has heard details of eroding coastlines, increasingly destructive storms and crops ruined by encroaching seawater.

Villagers in the Marshall Islands have seen graveyards swamped, while tiny Kiribati has purchased a large block of land in Fiji in case its entire population needs to relocate.

Palau President Tommy Remengesau said the Pacific's plight should prick the conscience of delegates from 195 nations who will meet in Paris in December seeking a breakthrough climate deal.

“What is happening is non-uniform, rapid, extreme and destructive in impact and consequences,” said Remengesau, who is also the PIF president.

“There is immediate danger for all small island countries. Climate change is causing serious damage now, it is not an event of the future,” he told AFP.

The so-called COP21 talks in Paris will seek a binding deal to take effect in 2020 that will commit all nations to emissions cuts.

The goal is to limit average global warming to 2 degrees Celsius over pre-Industrial Revolution levels.

'Unviable very soon' 

Former New Zealand prime minister Geoffrey Palmer said the Paris talks could determine the future of Pacific territories such as Kiribati, Tuvalu and Tokelau.

“If you get a meter of inundation by the tides then some of those countries are going to become unviable very soon,” he told a climate discussion in Wellington organized by the French embassy.

“You're looking there at the destruction of a culture. This is terrible and we're not doing anything about it.”

Australia and New Zealand, the two largest PIF members, have been accused of dragging their feet on climate change, but Kiribati President Anote Tong said small island nations would not allow them to water down the PIF's call for action.

“I don't know what problems these countries have ... but we'll have a very big problem if we don't have strong language,” he said. “We need action as soon as possible.”

Another issue set for discussion at the PIF meeting is a clampdown on civil rights in Nauru which prompted New Zealand on Wednesday to suspend foreign aid to the country's justice sector.

The U.N. and United States have called for restoration of basic freedoms in Nauru, saying they are fundamental to democracy, and New Zealand has said it will air its concerns in Port Moresby.

The Pacific's multi-billion-U.S.-dollar tuna industry will also be under scrutiny. It is an economic lifeline for some nations but vulnerable to poaching and overfishing.

The talks are also set to touch on regional integration, potentially allowing French Polynesia in as a full member, and curbing an obesity epidemic in the Pacific. – 2015 The China Post. Back to Story",Pacific summit to issue climate message to world,News,China Post,2015-09-06T16:37:27Z
e44004b7-4cf0-4f74-9b36-b51fc049e2d5,"SOURCE Wounded Warrior Project

WWP Alumnus Brett Miller Helps Wounded Veterans Through Outdoor Excursions JACKSONVILLE, Fla. 

Miller, a U.S. Army veteran, founded Warfighter Outfitters, Inc. in 2013 as a nonprofit organization for wounded and disabled combat veterans. His organization's philosophy emphasizes veterans helping veterans through free fishing and outdoor hunting excursions. Miller, who is also a WWP peer mentor, serves veterans in a remote area. 

Since 2012, WWP Program Grants has held two annual grant cycles to support the increasing number of returning wounded veterans and their reintegration needs. Miller, whose 2005 deployment to Iraq 

""Once I was discharged, I began my passions of hunting and fishing, started inviting other vet buddies along and noticed the healing factor of these trips,"" Miller said. ""The demand for the trips grew and grew and eventually became very costly. So after years of paying out of pocket, I started the nonprofit Warfighter Outfitters, Inc."" 

Miller says he is proud of his full-time commitment to getting injured veterans outside and engaged. ""There is a very casual atmosphere that allows an open forum to discuss the issues at hand,"" said Miller. Warfighter Outfitters provides participating injured veterans with adaptive vehicles that allow everyone – despite ability level – to engage in the hunting activities that are so popular in the Northwest. 

The Warfighter Outfitters, Inc. board of directors is comprised exclusively of veterans and employs volunteer staff. All contributions to the organization go to its programs. ""Warfighter Outfitters is successful mainly due to a large part of the west coast that is essentially barren of activities,"" said Miller. ""Veterans in the Pacific Northwest really enjoy the trips we provide; they are very popular with Alumni. We even had guys travel from states way out of the region to go on our events."" 

WWP invests in organizations that focus on enriching the lives of injured veterans through an array of programs that seek to improve mental health and wellness; expose wounded service members to new opportunities for physical fitness and activity; connect wounded service members with their peers and communities; and enhance economic empowerment and independence. 

About Wounded Warrior Project

Photo - http://photos.prnewswire.com/prnh/20150908/264581 

To view the original version on PR Newswire, visit:http://www.prnewswire.com/news-releases/warfighter-outfitters-inc-is-latest-wounded-warrior-project-grant-recipient-300139390.html

©2015 PR Newswire. All Rights Reserved.","Warfighter Outfitters, Inc. Is Latest Wounded Warrior Project Grant Recipient",News,WTRF,2015-09-10T12:40:37Z
6b3aa028-e107-45b7-bfdb-79d6eabeb3ac,"Italian broadband operator Tiscali has launched a new cloud portal targeted at large companies and SMEs. The dedicated portal, dubbed Tiscali Cloud, offers a portfolio of services tailored to the needs of business customers, including security, disaster recovery, virtual desktop infrastructure, billing as a service and migration, as well as cloud storage, managed mail and enterprise mobility management services.",Tiscali unveils new cloud portal for Italian businesses,News,Telecompaper,2015-09-22T14:10:15Z
56e54d49-c7b4-460e-ba31-70e04f3718ec,"The board of directors of ServisFirst Bancshares Inc (NASDAQ:SFBS) approved a quarterly cash dividend of USD0.06 per share, the company reported on Wednesday. 
 
This dividend will be paid on 15 October 2015 to stockholders of record as of 8 October 2015. 
 
ServisFirst Bancshares is the holding company of ServisFirst Bank Inc, through which it provides business and personal financial services from Birmingham, Huntsville, Mobile, Montgomery and Dothan, Alabama, Pensacola, Florida, Nashville, Tennessee, Atlanta, Georgia and Charleston, South Carolina. 
 
The company was founded in 2005 and is based in Birmingham, Alabama.",ServisFirst Bancshares announces dividend of USD0.06 per share for Q3 2015,News,Bloomberg,2015-09-24T08:29:37Z
dd7b172e-ffbf-4347-8b19-51537a32231d,"PÖYRY PLC   Press release 30 September 2015 at 12.00 (EEST) 
 
Pöyry awarded structural engineering assignment for Mikkeli Central Hospital, Finland 
    
Southern Savonia Hospital District has awarded Pöyry with a structural engineering assignment relating to a renovation and expansion project at Mikkeli Central Hospital. The assignment covers the structural engineering of the changes to the existing hospital and its expansion. 
 
The goal of Mikkeli's project is to combine the city's social, basic and specialist healthcare services into one unit on the current hospital campus. It is intended to provide better, more cost-effective service to all of the municipalities and residents of the hospital district. 
 
The project will expand the current hospital. Additional floors will be constructed as well as a new, five-storey family ward-type building. Existing facilities will be rearranged and renovated while the hospital remains active - a key consideration in both the design and construction phases. 
 
The project will consolidate the facilities of the hospital district and Mikkeli's social and health services by approximately 20%. The centralising improves and enhances the services provided to the residents while enabling savings. 
 
""Pöyry has extensive experience of structural engineering in large hospital projects. This experience will be useful, especially considering the requirements for the hospital to remain active whilst the work takes place,"" says Pekka Narinen, Director, Pöyry's Civil Engineering unit. 
 
The project began in July and will be completed in 2020. 
 
The value of the order is not disclosed. The order will be recognised within the Regional Operations order stock in Q3/2015. 
 
Additional information by: 
 
Pekka Narinen 
Director, Civil Engineering, Regional Operations, North Europe 
Tel: +358 1033 49074 
 
Pasi Tolppanen 
Director, Regional Operations, North Europe 
Managing Director, Pöyry Finland 
Tel: +358 1033 26656 
 
Pöyry is an international consulting and engineering company. We serve clients globally across the energy and industrial sectors and provide local services in our core markets. We deliver management consulting and engineering services, underpinned by strong project implementation capability and expertise. Our focus sectors are power generation, transmission & distribution, forest industry, chemicals & biorefining, mining & metals, transportation and water. Pöyry has an extensive local office network employing about 6,000 experts. Pöyry's net sales in 2014 were EUR 571 million and the company's shares are quoted on NASDAQ OMX Helsinki (Pöyry PLC: POY1V). 
 

This announcement is distributed by NASDAQ OMX Corporate Solutions on behalf of NASDAQ OMX Corporate Solutions clients. 
The issuer of this announcement warrants that they are solely responsible for the content, accuracy and originality of the information contained therein. 
Source: Pöyry Oyj via Globenewswire 
HUG#1955543","Pöyry awarded structural engineering assignment for Mikkeli Central Hospital, Finland",News,HeraldNet,2015-09-30T09:00:20Z
b0daa2a0-20a9-4cce-88da-7d3e1cb86e83,"About EnvironmentGuru  
EnvironmentGuru.com is the largest online Social Network that offers a place for environmental professionals around the world to collaborate, find, and distribute environmental information. Collaboration for the future from social, news, universities, government agencies, and you.   
 
Find Out More →",Solar Hit ~7 percent  Of Spain’s Electricity This Summer,News,EnvironmentGuru.com,2015-09-25T00:00:00Z
1e2fd403-b757-4bbb-8b05-11c71230face,"Catch Ralph Barrat this Sunday at Simms Park. 
— image credit: PHOTO SUBMITTED 
  
This Sunday, Sept. 13 at 7 p.m., Simms Park will feature a free performance of Ralph Barrat and the Sharp Seven with a special tribute to the songs of both Frank Sinatra and Duke Ellington. 
 
This concert was originally planned for Aug.  30, but was rescheduled due to weather. This will be the last performance of a successful Simms Summer Concert 2015 season. 
 
“We were really looking forward to giving this performance at the end of August, but Mother Nature had other plans,” says Ralph Barrat. “We hope jazz fans in the will come out on Sept. 13 and enjoy the show.” 
 
Take a seat as the band transports you to the golden era of jazz as they  recognize and honour the amazing songs and career of Frank Sinatra. Enjoy songs such as “Lady is a Tramp”, “Take the A-Train” and “Fly Me to the Moon,” just to name a few. 
 
This dynamic seven-piece combo includes  Barrat on vocals with a three-piece horn section including Jake Masri (trumpet), Jeff Agopsowicz (trombone), and Rachel Fuller (alto). The band also includes Grahame Edwards (bass), Michael Eddy (keyboard) and Neil Clark (drums). 
 
For concert information call the Courtenay Recreation Lewis Centre at 250-338-5371 or get updates at courtenay.ca/simms",Final Simms Park summer concert on Sunday,News,Comox Valley Record,2015-09-11T04:10:18Z
59d6b36d-b455-4887-9077-f08ad28c65a9,"Share this page:    

 	 
 


           
 Bank finances Doğuş Çay’s far-reaching investment programme 
 

	The European Bank for Reconstruction and Development (EBRD) is continuing to support the agribusiness sector in Turkey with a €50 million loan to local tea and snacks producer, Doğuş Çay. 
 

	The Bank will finance the company’s far-reaching investment programme for 2015 and 2016 which includes construction of a new iced tea production line in Izmir, an upgrade of warehouses and potato chip production facilities in Aksaray, as well as the refinancing of existing short and mid-term loans. 
 

	The EBRD will also help the company further improve its corporate governance and resource efficiency to make it more competitive in local and regional markets. 
 

	Gilles Mettetal, Director for Agribusiness at the EBRD, said: “With our financing we are helping this successful Turkish company to increase sales by launching new tea production lines and improve its potato chips business through investments in warehouses while advancing its corporate governance, efficiency and environmental standards.” 
 

	Founded in the early 1980s by brothers Alpaslan and Suleyman Karakan, Doğuş Çay started as a small tea trading company in Rize, in the eastern Black Sea region of Turkey, where tea farming remains a main economic driver. By the 1990s the brothers had transformed the enterprise from trading to processing and packaging, later diversifying into sugar packaging and the production of tomato paste and potato chips. 
 

	Doğuş Çay is currently one of the top three tea producers in Turkey, with a 13 per cent market share. It has a 17.5 per cent market share in the chips and snacks segment.   
 

	Enhancing the competitiveness of Turkish companies through innovation, better corporate governance and greater resource efficiency is a priority for the EBRD in Turkey where the Bank started investing in 2009. 
 

	It currently operates from offices in Istanbul, Ankara and Gaziantep. In 2014 Turkey became the leading recipient country of the EBRD, with new investments worth €1.4 billion. 
 

	To date, the EBRD has invested over €6 billion in Turkey through close to 160 projects in infrastructure, energy, agribusiness, industry and finance. The Bank has also mobilised over €12 billion for these ventures from other sources of financing. 
 

	  

	   
            
            	
	            
	            
	            
	            
	            
	            
	             Share this page",Turkish tea and snacks producer gets a boost from EBRD,News,European Bank for Reconstruction and Redevelopment,2015-09-17T13:46:06Z
7fdfe180-790c-48ab-8b45-e64aaf91e0f8,"SOURCE Cornerstone Home Lending, Inc.

HOUSTON 

Cornerstone's winning entries all highlight the company's fun, uplifting, and service-oriented brand. The Platinum and Gold Award-winning #ProudTheyServed Campaign was a corporate social responsibility program that honored veterans and active service members. The Platinum Award-winning ""Video DIY: Tips & Tricks for Producing a Professional Video with Your Smart Phone"" is a training video that helps the company's Loan Officers boost their online video marketing. Cornerstone's marketing team also won an Honorable Mention in Web Design for its internal website, YourCornerstoneWebsite.com.

""Our team's goal is to create relevant, meaningful marketing inspired by our company's main mission: To make a positive difference in the lives of others,"" says Jennifer Weber 

ABOUT CORNERSTONE HOME LENDING, INC.

Established in 1988, Cornerstone Home Lending, Inc. (NMLS 2258) is a refreshingly unique national home lender with thousands of highly-satisfied clients who return to Cornerstone year after year, loan after loan. We operate with integrity, we treat our clients with the utmost respect, we listen to determine the appropriate loan product that meets our clients' home financing needs, and we are committed to meeting the agreed-upon closing date. For more information, visit HouseLoan.com. 

ABOUT THE MARCOM AWARDS

The MarCom Awards are administered and judged by the Association of Marketing and Communication Professionals. This international organization is comprised of several thousand creative professionals. MarCom judges look for companies and individuals whose talent exceeds a high standard of excellence and whose work serves as a benchmark for the creative industry. A complete list of 2014 Platinum and Gold Winners can be found at MarComAwards.com. 

Logo - http://photos.prnewswire.com/prnh/20150922/269604LOGO 

To view the original version on PR Newswire, visit:http://www.prnewswire.com/news-releases/cornerstone-home-lending-wins-4-marcom-international-creative-achievement-awards-for-2014-300149424.html

©2015 PR Newswire. All Rights Reserved.",Cornerstone Home Lending Wins 4 MarCom International Creative Achievement Awards For 2014,News,14 WFIE,2015-09-26T01:01:23Z
